epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.187,1.6099,3.32309,1.905,0.85832,0.13636,0.13286,0.0727,2.13181,4.11429,3.0141,0.00333176,0.00333176,0.00333176
2,578.622,1.49675,2.59605,1.80537,0.17074,0.14045,0.12575,0.07959,2.11348,3.9681,2.77777,0.00653313,0.00653313,0.00653313
3,869.846,1.55088,2.67442,1.85017,0.58947,0.14952,0.12917,0.07176,2.15591,3.92922,2.83659,0.00960249,0.00960249,0.00960249
4,1161.31,1.55784,2.6919,1.87682,0.25128,0.20225,0.16449,0.08178,2.2001,3.76391,2.88964,0.009406,0.009406,0.009406
5,1448.14,1.50956,2.58045,1.82753,0.60106,0.20644,0.15396,0.08469,2.0937,3.87217,2.735,0.009208,0.009208,0.009208
6,1735.58,1.48598,2.48794,1.80631,0.22362,0.23715,0.19354,0.12348,2.05941,3.61874,2.68026,0.00901,0.00901,0.00901
7,2031.28,1.45249,2.38838,1.77322,0.48364,0.24359,0.26613,0.14872,2.05917,3.17823,2.7123,0.008812,0.008812,0.008812
8,2318.62,1.4283,2.33263,1.75915,0.54383,0.23495,0.23074,0.13421,2.0612,3.47212,2.70694,0.008614,0.008614,0.008614
9,2600.35,1.40858,2.27038,1.74282,0.2771,0.2724,0.26957,0.14027,2.04348,3.38657,2.61163,0.008416,0.008416,0.008416
10,2879.47,1.39484,2.20834,1.73171,0.26742,0.30542,0.24321,0.13628,1.99863,3.27128,2.63677,0.008218,0.008218,0.008218
11,3160.58,1.37561,2.15026,1.71179,0.29452,0.30621,0.26283,0.15201,1.9474,3.56925,2.56602,0.00802,0.00802,0.00802
12,3438.27,1.36901,2.12408,1.70118,0.52419,0.3004,0.26149,0.15443,2.01764,3.25074,2.68525,0.007822,0.007822,0.007822
13,3712.53,1.35829,2.07184,1.68921,0.24914,0.36939,0.27523,0.17147,1.92445,3.22567,2.50582,0.007624,0.007624,0.007624
14,3988.55,1.34416,2.0496,1.68314,0.25921,0.37498,0.28834,0.17809,1.91919,2.90425,2.5217,0.007426,0.007426,0.007426
15,4267.37,1.32991,2.01629,1.67769,0.27337,0.32257,0.27551,0.15821,2.01738,3.32173,2.60743,0.007228,0.007228,0.007228
16,4543.77,1.31848,1.97728,1.6669,0.34375,0.35285,0.31712,0.1903,1.96516,3.7189,2.5504,0.00703,0.00703,0.00703
17,4822.54,1.31196,1.93084,1.65517,0.31445,0.32489,0.29301,0.17829,1.9614,3.18794,2.58517,0.006832,0.006832,0.006832
18,5103.17,1.30997,1.91353,1.65223,0.33765,0.32467,0.30657,0.18403,1.92115,3.3268,2.4932,0.006634,0.006634,0.006634
19,5384.26,1.29262,1.87348,1.63774,0.39902,0.34506,0.32476,0.19001,1.92214,2.94127,2.55561,0.006436,0.006436,0.006436
20,5667.59,1.28995,1.8435,1.63013,0.3351,0.39102,0.29584,0.17523,1.9424,3.20598,2.56965,0.006238,0.006238,0.006238
21,5949.54,1.27403,1.81556,1.62321,0.49838,0.33022,0.32038,0.19186,1.95152,3.35219,2.55829,0.00604,0.00604,0.00604
22,6233.19,1.26661,1.78541,1.617,0.28291,0.395,0.30221,0.18639,1.90818,3.29293,2.51142,0.005842,0.005842,0.005842
23,6509.03,1.25983,1.76408,1.6119,0.30277,0.39963,0.30171,0.19359,1.93608,3.41997,2.5351,0.005644,0.005644,0.005644
24,6788.78,1.25672,1.74185,1.60388,0.34847,0.36925,0.31755,0.18134,1.93537,3.14748,2.53582,0.005446,0.005446,0.005446
25,7068.66,1.24151,1.69913,1.59627,0.33036,0.40798,0.31162,0.1748,1.95409,3.17464,2.55715,0.005248,0.005248,0.005248
26,7344.98,1.23991,1.66877,1.58751,0.34802,0.41471,0.31077,0.18401,1.91777,3.10969,2.52005,0.00505,0.00505,0.00505
27,7631.71,1.23309,1.6573,1.58492,0.34375,0.43878,0.32601,0.19644,1.93186,3.16449,2.55237,0.004852,0.004852,0.004852
28,7916.6,1.23079,1.63538,1.57809,0.39191,0.42317,0.32815,0.19422,1.94219,3.18474,2.55719,0.004654,0.004654,0.004654
29,8196.22,1.21354,1.60328,1.57114,0.34582,0.41685,0.3127,0.19389,1.9151,3.214,2.53541,0.004456,0.004456,0.004456
30,8473.89,1.21492,1.57565,1.56295,0.38551,0.43949,0.35241,0.21456,1.93357,3.14166,2.54559,0.004258,0.004258,0.004258
31,8753.42,1.20322,1.55152,1.55733,0.3984,0.43295,0.32853,0.20038,1.95415,3.12646,2.56258,0.00406,0.00406,0.00406
32,9040.47,1.19043,1.52265,1.54854,0.41421,0.40522,0.32202,0.20794,1.98318,3.25012,2.57306,0.003862,0.003862,0.003862
33,9319.62,1.18593,1.49348,1.54306,0.3651,0.40674,0.3205,0.2027,1.96828,3.27131,2.56017,0.003664,0.003664,0.003664
34,9601.81,1.17858,1.47581,1.53623,0.34365,0.42288,0.31236,0.19985,1.96953,3.29264,2.55508,0.003466,0.003466,0.003466
35,9880.12,1.17174,1.45311,1.52579,0.39745,0.4091,0.32211,0.20446,1.95692,3.19727,2.5358,0.003268,0.003268,0.003268
36,10164.6,1.16487,1.42227,1.52027,0.36981,0.45418,0.3359,0.21039,1.94786,3.20923,2.50826,0.00307,0.00307,0.00307
37,10445.3,1.15467,1.39854,1.50975,0.4003,0.43323,0.34838,0.21876,1.94968,3.18145,2.51988,0.002872,0.002872,0.002872
